lemma,pos,synonyms,hypernyms
task,NN,chore|job|labor|project|task|undertaking,work|duty
task,VB,task|tax,delegate|designate|depute|assign|strain|extend
council,NN,council,administrative unit|administrative body|assembly|meeting|group meeting
accurate,JJ,accurate|exact|precise,NA
spell,NN,charm|enchantment|go|magic spell|magical spell|patch|piece|spell|tour|trance|turn|while,psychological state|psychological condition|mental state|mental condition|shift|work shift|duty period|time|speech|speech communication|spoken communication|spoken language|language|voice communication|oral communication
spell,VB,import|spell|spell out|write,recite|mean|intend|take over|relieve|hex|bewitch|glamour|witch|enchant|jinx|alternate|take turns
Atlanta,NN,Atlanta|battle of Atlanta|capital of Georgia,NA
competition,NN,challenger|competition|competitor|contender|contention|contest|rival|rivalry,business relation|social event|group action|contestant
occur,VB,come|come about|fall out|go on|hap|happen|occur|pass|pass off|take place,become|appear|come along
partition,NN,divider|division|partition|partitioning|sectionalisation|sectionalization|segmentation,structure|construction|computer memory unit|body part|separation
partition,VB,partition|partition off|zone,separate|divide|part
binary,JJ,binary,NA
binary,NN,binary|binary program|binary star|double star,star|program|programme|computer program|computer programme
summary,NN,sum-up|summary,statement
crap,NN,bull|bullshit|crap|dirt|dogshit|horseshit|Irish bull|poop|shit|shite|turd,fecal matter|faecal matter|feces|faeces|BM|stool|ordure|dejection|bunk|bunkum|buncombe|guff|rot|hogwash
crap,VB,ca-ca|crap|defecate|make|shit|stool|take a crap|take a shit,excrete|egest|eliminate|pass
weather,NN,atmospheric condition|conditions|weather|weather condition,atmospheric phenomenon
weather,VB,brave|brave out|endure|weather,defy|withstand|hold|hold up|lean|tilt|tip|slant|angle|sail|decay|crumble|dilapidate
yesterday,NN,yesterday,day|twenty-four hours|twenty-four hour period|24-hour interval|solar day|mean solar day|past|past times|yesteryear
yesterday,RB,yesterday,NA
marriage,NN,man and wife|marriage|marriage ceremony|married couple|matrimony|spousal relationship|union|wedding|wedlock,marital status|family|family unit|ritual|rite|union|unification
zero,NN,0|aught|cipher|cypher|goose egg|nada|naught|nil|nix|nothing|nought|null|zero|zero point|zilch|zip|zippo,relative quantity|digit|figure|numerical quantity|sight setting
zero,VB,zero|zero in,adjust|set|correct|adjust|set|correct
moral,JJ,moral,NA
moral,NN,lesson|moral,meaning|significance|signification|import
newsletter,NN,newsletter|newssheet,report|news report|story|account|write up
convert,VB,change|change over|commute|convert|convince|exchange|win over,change|alter|modify|replace|score|hit|tally|rack up|persuade
alien,JJ,alien|exotic|foreign,NA
alien,NN,alien|extraterrestrial|extraterrestrial being|foreigner|noncitizen|outlander|stranger|unknown,traveler|traveller|intruder|interloper|trespasser|hypothetical creature
Williams,NN,Bernard Arthur Owen Williams|Hank Williams|Hiram King Williams|Hiram Williams|Roger Williams|Sir Bernard Williams|Ted Williams|Tennessee Williams|Theodore Samuel Williams|Thomas Lanier Williams|William Carlos Williams|Williams,NA
pure,JJ,arrant(a)|complete(a)|consummate(a)|double-dyed(a)|everlasting(a)|gross(a)|perfect(a)|pure|pure(a)|saturated|sodding(a)|staring(a)|stark(a)|thorough(a)|thoroughgoing(a)|unadulterated|utter(a)|vestal|virgin|virginal|virtuous,NA
existence,NN,being|beingness|cosmos|creation|existence|face of the earth|macrocosm|universe|world,state|natural object
captain,NN,captain|chieftain|headwaiter|maitre d'|maitre d'hotel|master|police captain|police chief|sea captain|senior pilot|skipper,commissioned military officer|commissioned naval officer|policeman|police officer|officer|ship's officer|leader|pilot|airplane pilot|dining-room attendant|restaurant attendant
captain,VB,captain,head|lead
Patrick,NN,Patrick|Saint Patrick|St. Patrick,NA
suddenly,RB,abruptly|all of a sudden|dead|of a sudden|on the spur of the moment|short|suddenly,NA
construction,NN,building|construction|expression|grammatical construction|mental synthesis|structure|twist,creating from raw materials|constituent|grammatical constituent|thinking|thought|thought process|cerebration|intellection|mentation|artifact|artefact|mathematical process|mathematical operation|operation|interpretation|commercial enterprise|business enterprise|business
impact,NN,encroachment|impact|impingement|shock|wallop,contact|impinging|striking|consequence|effect|outcome|result|event|issue|upshot|influence|fight|fighting|combat|scrap
flow,NN,catamenia|current|flow|flow rate|flowing|menses|menstruation|menstruum|period|rate of flow|stream,change of location|travel|rate|motion|movement|move|natural process|natural action|action|activity|course|line|discharge|emission|expelling
flow,VB,course|fall|feed|flow|flux|hang|menstruate|run,move|exist|be|flood|shed blood|bleed|hemorrhage
detail,NN,contingent|detail|item|particular|point,fact|part|portion|component part|component|constituent|discussion|treatment|discourse|gang|crew|work party|military unit|military force|military group|force
detail,VB,detail,elaborate|lucubrate|expatiate|exposit|enlarge|flesh out|expand|expound|dilate|assign|specify|set apart
Rick,NN,crick|hayrick|haystack|kink|rick|wrick,spasm|cramp|muscle spasm|stack
recognize,VB,accredit|acknowledge|agnise|agnize|discern|distinguish|greet|know|make out|pick out|realise|realize|recognise|recognize|spot|tell apart,accept|know|cognize|cognise|remember|retrieve|recall|call back|call up|recollect|think|license|licence|certify|address|accost|come up to|thank|give thanks|be|prize|value|treasure|appreciate
warm,JJ,ardent|quick|strong|warm,NA
warm,VB,warm|warm up,change|alter|modify
party,NN,company|party|political party,organization|organisation|social gathering|social affair|set|circle|band|lot|affair|occasion|social occasion|function|social function|person|individual|someone|somebody|mortal|soul
party,VB,party,celebrate|fete
Israel,NN,Israel|Sion|State of Israel|Yisrael|Zion,NA
interactive,JJ,interactional|interactive|synergistic,NA
careful,JJ,careful|deliberate|heedful|measured|thrifty,NA
MO,NN,atomic number 42|bit|minute|Missouri|mo|Mo|MO|Mo.|molybdenum|moment|second|Show Me State,time|metallic element|metal
educational,JJ,educational,NA
audience,NN,audience|consultation|hearing|interview,gathering|assemblage|multitude|masses|mass|hoi polloi|people|the great unwashed|opportunity|chance|conference|group discussion
argue,VB,argue|contend|debate|fence|indicate|reason,present|represent|lay out|converse|discourse
kid,NN,child|fry|kid|Kid|kidskin|Kyd|minor|nestling|nipper|shaver|small fry|Thomas Kid|Thomas Kyd|tiddler|tike|tyke|youngster,juvenile|juvenile person|leather|offspring|progeny|issue|goat|caprine animal
kid,VB,banter|chaff|jolly|josh|kid|pull the leg of,gull|dupe|slang|befool|cod|fool|put on|take in|put one over|put one across|tease|razz|rag|tantalize|tantalise|bait|taunt|twit|rally|ride
Ontario,NN,Lake Ontario|Ontario,NA
noise,NN,dissonance|disturbance|haphazardness|interference|noise|racket|randomness|stochasticity,sound|auditory sensation|trouble|cry|outcry|call|yell|shout|vociferation|incomprehensibility|irregularity|unregularity
register,VB,cross-file|file|read|record|register|show,record|enter|put down|register|enroll|inscribe|enrol|recruit|indicate|campaign|run|show|show up|play|mail|post|send|affect
register,NN,cash register|register|registry,written record|written account|timbre|timber|quality|tone|record|memory device|storage device|air passage|air duct|airway|regulator|cashbox|money box|till
tag,NN,rag|shred|tag|tag end|tatter|ticket,label|piece of cloth|piece of material|child's game|touch|touching
tag,VB,chase|chase after|dog|give chase|go after|label|mark|tag|tail|track|trail,attach|touch|name|call|know as|be known as|pursue|follow|rhyme|rime
intelligent,JJ,healthy|intelligent|level-headed|levelheaded|reasoning(a)|sound|thinking(a)|well-informed,NA
glass,NN,chalk|chicken feed|crank|deoxyephedrine|drinking glass|field glass|glass|glassful|ice|looking glass|meth|methamphetamine|methamphetamine hydrochloride|Methedrine|shabu|spyglass|trash,solid|container|containerful|refracting telescope|amphetamine|pep pill|upper|speed|controlled substance|mirror|glassware|glasswork
variable,JJ,variable|varying,NA
variable,NN,variable|variable quantity|variable star,thing|quantity|star|symbol
forever,RB,always|constantly|eternally|everlastingly|evermore|forever|forever and a day|incessantly|perpetually,NA
billion,NN,1000000000|1000000000000|bazillion|billion|gazillion|jillion|million|one million million|one thousand million|trillion|zillion,large integer|large indefinite quantity|large indefinite amount
challenge,NN,challenge,situation|state of affairs|speech act|questioning|inquiring|objection|demand
challenge,VB,challenge|dispute|gainsay|take exception,contest|contend|repugn|invite|bid|request|ask for|bespeak|call for|quest|object
publication,NN,issue|publication|publishing,work|piece of work|printing|communication|commercial enterprise|business enterprise|business
cancel,VB,call off|cancel|delete|invalidate|offset|scratch|scrub|set off|strike down,balance|equilibrate|equilibrize|equilibrise|declare|adjudge|hold|remove|take|take away|withdraw|score|mark
cancel,NN,cancel|natural,musical notation
attitude,NN,attitude|mental attitude|position|posture,cognition|knowledge|noesis|bodily property|affectation|mannerism|pose|affectedness|orientation
Monday,NN,Mon|Monday,weekday
carefully,RB,carefully|cautiously,NA
combination,NN,combination|combining|compounding,collection|aggregation|accumulation|assemblage|sequence|unit|social unit|alliance|coalition|alignment|alinement|mathematical process|mathematical operation|operation|change of integrity
foundation,NN,base|basis|cornerstone|creation|foot|foundation|foundation garment|founding|fundament|grounding|groundwork|initiation|innovation|instauration|institution|introduction|origination|substructure|understructure,relation|financial institution|financial organization|financial organisation|support|education|assumption|supposition|supposal|undergarment|unmentionable|beginning|start|commencement
hopefully,RB,hopefully,NA
welfare,NN,benefit|eudaemonia|eudaimonia|public assistance|social welfare|upbeat|welfare|well-being|wellbeing,aid|economic aid|financial aid|assistance|financial assistance|economic assistance|good|goodness|prosperity|successfulness
regardless,RB,disregarding|disregardless|irrespective|no matter|regardless,NA
interview,NN,audience|consultation|interview,interrogation|examination|interrogatory|conference|group discussion
interview,VB,interview|question,converse|discourse|converse|discourse|converse|discourse
cycle,NN,bicycle|bike|cps|cycle|cycle per second|cycles/second|hertz|Hz|oscillation|rhythm|round|wheel,time interval|interval|series|repeat|repetition|rate|periodic event|recurrent event|wheeled vehicle
cycle,VB,bicycle|bike|cycle|motorbike|motorcycle|pedal|wheel,pass|make pass|ride|recur|repeat
literature,NN,lit|literature,writing|written material|piece of writing|literary study|profession
assistance,NN,aid|assist|assistance|economic aid|economic assistance|financial aid|financial assistance|help,activity|resource|gift
arm,NN,arm|branch|limb|sleeve|subdivision|weapon|weapon system,limb|projection|instrument|armrest|division|cloth covering
arm,VB,arm|build up|fortify|gird,supply|provide|render|furnish
vision,NN,imagination|imaginativeness|sight|vision|visual modality|visual sensation|visual sense,imagination|imaging|imagery|mental imagery|modality|sense modality|sensory system|exteroception|sensation|esthesis|aesthesis|sense experience|sense impression|sense datum|creativity|creativeness|creative thinking|experience
critical,JJ,critical|decisive|vital,NA
bother,VB,annoy|bother|chafe|devil|discommode|disoblige|get at|get to|gravel|incommode|inconvenience|inconvenience oneself|irritate|nark|nettle|put out|rag|rile|trouble|trouble oneself|vex,strive|reach|strain|displease|affect|impact|bear upon|bear on|touch on|touch|intrude|irrupt|agitate|rouse|turn on|charge|commove|excite|charge up|confuse|flurry|disconcert|put off
bother,NN,annoyance|bother|botheration|fuss|hassle|infliction|pain|pain in the ass|pain in the neck|trouble,perturbation|disturbance|negative stimulus
curious,JJ,curious|funny|odd|peculiar|queer|rum|rummy|singular,NA
Scientology,NN,Church of Scientology|Scientology,religion|faith|organized religion
Louis,NN,Joe Louis|Joseph Louis Barrow|Louis,NA
consideration,NN,circumstance|condition|considerateness|consideration|retainer|thoughtfulness,thinking|thought|thought process|cerebration|intellection|mentation|information|discussion|treatment|discourse|kindness|fee|benignity
DAVIS,NN,Bette Davis|Davis|Davys|Dwight Davis|Dwight Filley Davis|Jefferson Davis|John Davis|John Davys|Miles Davis|Miles Dewey Davis Jr.|Stuart Davis,NA
hotel,NN,hotel,building|edifice
Virginia,NN,Old Dominion|Old Dominion State|VA|Va.|Virginia,NA
pacific,NN,Pacific|Pacific Ocean,NA
pacific,JJ,pacific|Pacific|peaceable,NA
Toronto,NN,Toronto,NA
joke,NN,antic|caper|gag|jape|jest|jocularity|joke|laugh|prank|put-on|trick,wit|humor|humour|witticism|wittiness|diversion|recreation|pettiness|triviality|slightness|puniness
joke,VB,jest|joke,communicate|intercommunicate|act|behave|do
elemental,JJ,basal|elemental|elementary|primary,NA
snow,NN,Baron Snow of Leicester|blow|C|C. P. Snow|Charles Percy Snow|coke|nose candy|snow|Snow|snowfall,precipitation|downfall|layer|cocaine|cocain
snow,VB,bamboozle|hoodwink|lead by the nose|play false|pull the wool over someone's eyes|snow,precipitate|come down|fall|deceive|betray|lead astray
password,NN,countersign|parole|password|watchword|word,positive identification|secret|arcanum
edit,VB,blue-pencil|cut|delete|edit|edit out|redact,change|alter|modify|publish|bring out|put out|issue|release|censor
rid,VB,disembarrass|free|rid,NA
extension,NN,annex|annexe|denotation|elongation|extension|extension phone|extension service|file name extension|filename extension|lengthiness|prolongation|propagation|reference|telephone extension|university extension|wing,delay|hold|time lag|postponement|wait|expansion|enlargement|dissemination|airing|public exposure|spreading|education|instruction|teaching|pedagogy|didactics|educational activity|stretching|string|meaning|substance|property|dance|longness|telephone|phone|telephone set|addition|add-on|improver
progress,NN,advance|advancement|forward motion|onward motion|procession|progress|progression,development|motion|movement|move|change of location|travel
avenue,NN,avenue|boulevard,approach|attack|plan of attack|street
Christ,NN,christ|Christ|Deliverer|Good Shepherd|Jesus|Jesus Christ|Jesus of Nazareth|messiah|Redeemer|Savior|Saviour|the Nazarene,savior|saviour|rescuer|deliverer
reverse,NN,black eye|blow|contrary|opposite|reversal|reverse|reverse gear|reversion|setback|turnabout|turnaround|verso,opposition|oppositeness|gear|gear mechanism|happening|occurrence|occurrent|natural event|side|run|running|running play|running game|change of direction|reorientation
reverse,VB,annul|change by reversal|countermand|invert|lift|override|overrule|overthrow|overturn|repeal|rescind|reverse|revoke|turn|turn back|vacate,change|alter|modify|rule|decree|cancel|strike down|reorder
hence,RB,hence|so|thence|therefore|thus,NA
commission,NN,charge|commission|commissioning|committal|committee|delegacy|delegation|deputation|direction|military commission|mission|perpetration,administrative unit|administrative body|fee|authorization|authorisation|empowerment|operation|organization|organisation|command|bid|bidding|dictation|certificate|certification|credential|credentials|crime|criminal offense|criminal offence|law-breaking|assignment|duty assignment
commission,VB,commission,equip|fit|fit out|outfit|order|authorize|authorise|pass|clear
fee,VB,bung|fee|tip,give|gift|present
lotus,NN,Egyptian water lily|genus Lotus|Indian lotus|lotus|Lotus|Nelumbo nucifera|Nymphaea lotus|sacred lotus|white lily|white lotus,water lily|rosid dicot genus
signature,NN,key signature|signature|signature tune|theme song|touch,name|manner|mode|style|way|fashion|tune|melody|air|strain|melodic line|line|melodic phrase|musical notation|sheet|piece of paper|sheet of paper
click,NN,chink|click|clink|detent|dog|mouse click|pawl|suction stop,sound|stop consonant|stop|occlusive|plosive consonant|plosive speech sound|plosive|catch|depression
click,VB,chatter|clack|click|cluck|come home|dawn|fall into place|flick|get across|get through|penetrate|sink in|snap|tick,move|sound|go|pronounce|articulate|enounce|sound out|enunciate|say|utter|emit|let out|let loose
August,NN,Aug|August,Gregorian calendar month
Ohio,NN,Buckeye State|OH|Ohio|Ohio River,NA
solve,VB,clear|figure out|lick|puzzle out|resolve|solve|work|work out,understand|calculate|cipher|cypher|compute|work out|reckon|figure|settle|square off|square up|determine
alive,JJ,active|alert|alive|alive(p)|animated|awake(p)|live,NA
concern,NN,business|business concern|business organisation|business organization|care|concern|fear|headache|vexation|worry,interest|involvement|anxiety|sympathy|fellow feeling|negative stimulus|enterprise
concern,VB,bear on|come to|concern|have to do with|interest|occupy|pertain|refer|relate|touch|touch on|worry,NA
fault,NN,break|defect|demerit|error|fault|faulting|flaw|fracture|geological fault|mistake|shift,nonaccomplishment|nonachievement|imperfection|imperfectness|worth|crack|cleft|crevice|fissure|scissure|breakdown|equipment failure|responsibility|responsibleness|serve|service
fault,VB,blame|fault,charge|accuse
profit,NN,earnings|gain|lucre|net|net income|net profit|profit|profits,income|advantage|vantage
profit,VB,benefit|gain|profit|turn a profit,get|acquire|gain|take in|clear|make|earn|realize|realise|pull in|bring in
char,VB,blacken|char|coal|scorch|sear,burn|combust
char,NN,char|charr|charwoman|cleaning lady|cleaning woman|woman,carbon|C|atomic number 6|cleaner|salmonid
circle,NN,band|circle|circuit|dress circle|forget me drug|lap|lot|Mexican valium|R-2|roach|roofy|rope|rophy|rotary|round|roundabout|set|traffic circle,ellipse|oval|social group|shape|form|locomotion|travel|junction|flunitrazepan|Rohypnol|seating|seats|seating room|seating area|rotating mechanism
circle,VB,circle|encircle,travel|go|move|locomote|shape|form
October,NN,Oct|October,Gregorian calendar month
Greek,NN,Greek|Hellene|Hellenic|Hellenic language,Indo-European|Indo-European language|Indo-Hittite|European
Greek,JJ,Grecian|Greek|Hellenic,NA
kick,NN,bang|beef|bitch|boot|charge|flush|gripe|kick|kicking|recoil|rush|squawk|thrill,blow|exhilaration|excitement|movement|motion|objection|stimulation|stimulus|stimulant|input|move|motility
kick,VB,complain|give up|kick|kick back|kvetch|plain|quetch|recoil|sound off,propel|impel|strike out|hit|dance|trip the light fantastic|trip the light fantastic toe|bounce|resile|take a hop|spring|bound|rebound|recoil|reverberate|ricochet|waive|relinquish|forgo|forego|foreswear|dispense with|score|tally|rack up
drink,NN,beverage|boozing|crapulence|deglutition|drink|drinkable|drinking|drunkenness|potable|swallow,helping|portion|serving|intemperance|intemperateness|food|nutrient|liquid|body of water|water|consumption|ingestion|intake|uptake
sir,NN,sir|Sir,man|adult male|male aristocrat
violence,NN,ferocity|fierceness|force|furiousness|fury|vehemence|violence|wildness,aggression|hostility|intensity|intensiveness|turbulence|upheaval|Sturm und Drang
storm,NN,storm|tempest|violent storm,atmospheric phenomenon|disturbance|disruption|commotion|flutter|hurly burly|to-do|hoo-ha|hoo-hah|kerfuffle|assault
storm,VB,force|rage|ramp|storm|surprise,act|behave|do|penetrate|perforate|blow|attack|assail
influence,NN,influence,power|powerfulness|causing|causation|determinant|determiner|determinative|determining factor|causal factor|consequence|effect|outcome|result|event|issue|upshot|force
influence,VB,act upon|charm|determine|influence|mold|regulate|shape|tempt|work,affect|impact|bear upon|bear on|touch on|touch|cause|do|make|persuade
liberal,JJ,big|bighearted|bounteous|bountiful|broad|free|freehanded|giving|handsome|large-minded|liberal|loose|openhanded|tolerant,NA
expert,NN,expert,person|individual|someone|somebody|mortal|soul
medicine,NN,medical specialty|medicament|medication|medicinal drug|medicine|music|practice of medicine,medical science|drug|learned profession|punishment|penalty|penalization|penalisation
taste,NN,appreciation|discernment|gustation|gustatory modality|gustatory perception|gustatory sensation|mouthful|penchant|perceptiveness|predilection|preference|sense of taste|taste|taste perception|taste sensation|tasting,sensation|esthesis|aesthesis|sense experience|sense impression|sense datum|liking|discrimination|secernment|experience|small indefinite quantity|small indefinite amount|modality|sense modality|sensory system|exteroception|sensing|perception
taste,VB,sample|savor|savour|smack|taste|try|try out,perceive|comprehend|consume|ingest|take in|take|have|taste|savor|savour|identify|know|experience|live
measure,NN,amount|bar|beat|bill|cadence|criterion|measure|measurement|measuring|measuring rod|measuring stick|mensuration|meter|metre|quantity|standard|step|touchstone,maneuver|manoeuvre|tactical maneuver|tactical manoeuvre|abstraction|abstract entity|legal document|legal instrument|official document|instrument|activity|system of measurement|metric|poetic rhythm|rhythmic pattern|prosody|musical notation|measuring instrument|measuring system|measuring device|container
measure,VB,appraise|assess|evaluate|measure|measure out|mensurate|quantify|valuate|value,decide|make up one's mind|determine|carry|convey|express|be|evaluate|pass judgment|judge
mix,NN,admixture|commixture|intermixture|mix|mixing|mixture|premix,concoction|mixture|intermixture|combining|combine|combination|compounding
mix,VB,amalgamate|blend|coalesce|combine|commingle|commix|conflate|desegregate|flux|fuse|immix|integrate|meld|merge|mingle|mix|mix in|ruffle|shuffle|unify,change integrity|compound|combine|add|change|alter|modify|manipulate
core,NN,burden|center|centre|Congress of Racial Equality|core|CORE|core group|effect|essence|gist|heart|heart and soul|inwardness|kernel|magnetic core|marrow|meat|nitty-gritty|nub|nucleus|pith|substance|sum,set|center|centre|midpoint|content|cognitive content|mental object|sample|nongovernmental organization|NGO|meaning|significance|signification|import|torus|toroid|chamber|bar
core,VB,core,hollow|hollow out|core out
present,VB,acquaint|award|confront|deliver|demo|demonstrate|exhibit|face|gift|give|introduce|lay out|portray|pose|present|represent|salute|show|stage|submit,show|state|say|tell|re-create|give|constitute|represent|make up|comprise|be|allocate|apportion|talk|speak|utter|mouth|verbalize|verbalise|inform|interpret|introduce|present|acquaint|greet|recognize|recognise
industrial,JJ,industrial,NA
weapon,NN,arm|artillery|weapon|weapon system,instrument|persuasion|suasion
panel,NN,board|control board|control panel|dialog box|gore|instrument panel|jury|panel|venire,sheet|flat solid|committee|commission|body|pad|piece of cloth|piece of material|window|electrical device
shut,VB,close|exclude|keep out|shut|shut out,change state|turn|prevent|keep
trial,NN,run|test|trial|trial run|tribulation|tryout|visitation,attempt|effort|endeavor|endeavour|try|experiment|experimentation|proceeding|legal proceeding|proceedings|contest|competition|affliction
electric,JJ,electric|electrical|galvanic|galvanising|galvanizing,NA
seek,VB,assay|attempt|essay|look for|search|seek|try,desire|want|act|move|travel|go|locomote|request
Jerry,NN,Boche|Hun|Jerry|Kraut|Krauthead,German
fellow,NN,associate|beau|blighter|bloke|boyfriend|buster|chap|colleague|companion|comrade|confrere|cuss|dude|familiar|fella|feller|fellow|gent|lad|mate|swain,male|male person|friend|associate|singleton|member|fellow member|man|adult male|lover
Adam,NN,Adam|cristal|disco biscuit|ecstasy|go|hug drug|Robert Adam|X|XTC,methylenedioxymethamphetamine|MDMA
marvel,NN,marvel|wonder,happening|occurrence|occurrent|natural event
marvel,VB,marvel|wonder,react|respond|express|verbalize|verbalise|utter|give tongue to
criminal,JJ,condemnable|criminal|deplorable|felonious|reprehensible|vicious,NA
criminal,NN,criminal|crook|felon|malefactor|outlaw,principal
font,NN,baptismal font|baptistery|baptistry|case|face|font|fount|typeface,type|basin
favor,NN,favor|favour|party favor|party favour,kindness|benignity|advantage|vantage|inclination|disposition|tendency|approval|keepsake|souvenir|token|relic
favor,VB,favor|favour|prefer|privilege,promote|upgrade|advance|kick upstairs|raise|elevate|see|consider|reckon|view|regard|spare|save|permit|allow|let|countenance
storage,NN,computer memory|computer storage|depot|entrepot|memory|memory board|repositing|reposition|storage|store|storehouse|warehousing,retention|keeping|holding|depository|deposit|depositary|repository|commercial enterprise|business enterprise|business|computer operation|machine operation|memory device|storage device|hardware|computer hardware|deposition
utility,NN,public utility|public utility company|public-service corporation|service program|usefulness|utility|utility program,service|quality|system of measurement|metric|program|programme|computer program|computer programme|facility|installation
postscript,NN,addendum|postscript|PS|supplement,note|annotation|notation|matter
pattern,NN,approach pattern|blueprint|convention|design|figure|form|formula|normal|pattern|practice|radiation diagram|radiation pattern|rule|shape|traffic pattern,structure|activity|decoration|ornament|ornamentation|practice|exemplar|example|model|good example|plan|program|programme|path|route|itinerary|graph|graphical record|graphical recording
Austin,NN,Austin|capital of Texas,NA
rod,NN,gat|perch|pole|retinal rod|rod|rod cell,implement|bacteria|bacterium|linear unit|linear measure|area unit|square measure|visual cell|pistol|handgun|side arm|shooting iron
introduction,NN,creation|debut|entry|first appearance|foundation|founding|initiation|innovation|insertion|instauration|institution|intro|introduction|intromission|launching|origination|presentation|unveiling,beginning|start|commencement|section|subdivision|informing|making known|textbook|text|text edition|schoolbook|school text|proposal|movement
exercise,NN,drill|employment|example|exercise|exercising|physical exercise|physical exertion|practice|practice session|recitation|usage|use|utilisation|utilization|workout,effort|elbow grease|exertion|travail|sweat|activity|training|preparation|grooming|lesson|ceremony|ceremonial|ceremonial occasion|observance|action
exercise,VB,do|drill|exercise|exert|practice|practise|work|work out,use|utilize|utilise|apply|employ|work|put to work|learn|study|read|take
miller,NN,Alton Glenn Miller|Arthur Miller|Glenn Miller|Henry Miller|Henry Valentine Miller|miller|Miller|milling machine|moth miller,craftsman|artisan|journeyman|artificer|shaper|shaping machine|moth
spleen,NN,irascibility|lien|quick temper|short temper|spleen,lymphatic tissue|lymphoid tissue|bad temper|ill temper
strongly,RB,powerfully|strongly,NA
brief,JJ,abbreviated|brief,NA
brief,NN,brief|legal brief,legal document|legal instrument|official document|instrument|outline|synopsis|abstract|precis
brief,VB,brief,instruct|apprise|apprize
historical,JJ,diachronic|historic|historical,NA
daughter,NN,daughter|girl,female offspring
nuclear,JJ,atomic|nuclear,NA
hospital,NN,hospital|infirmary,medical building|health facility|healthcare facility|medical institution
GA,NN,atomic number 31|Empire State of the South|Ga|GA|Ga.|gallium|Georgia|Peach State|tabun,organophosphate nerve agent|metallic element|metal
gnu,NN,gnu|wildebeest,antelope
belief,NN,belief|feeling|impression|notion|opinion,content|cognitive content|mental object|idea|thought
spin-dry,VB,spin-dry,dry|dry out
wheel,NN,bicycle|bike|cycle|rack|roulette wheel|steering wheel|wheel,machine|simple machine|handwheel|force|helm|game equipment|instrument of torture|wheeled vehicle
wheel,VB,bicycle|bike|cycle|pedal|roll|wheel|wheel around,revolve|go around|rotate|transport|travel|go|move|locomote|ride
tight,JJ,besotted|blind drunk|blotto|close|cockeyed|compressed|crocked|fuddled|loaded|mean|mingy|miserly|nasty|pie-eyed|pissed|pixilated|plastered|rigorous|slopped|sloshed|smashed|soaked|soused|sozzled|squiffy|stiff|stringent|taut|tight|wet,NA
tight,RB,close|closely|fast|tight,NA
bridge,NN,bridge|bridge circuit|bridge deck|bridgework|nosepiece|span,structure|construction|circuit|electrical circuit|electric circuit|connection|connexion|connectedness|anatomical structure|complex body part|bodily structure|body structure|card game|cards|support|denture|dental plate|plate|link|linkup|tie|tie-in|upper deck
bridge,VB,bridge|bridge over,connect|link|tie|link up|join|traverse|track|cover|cross|pass over|get over|get across|cut through|cut across
environmental,JJ,environmental,NA
push,VB,advertise|advertize|agitate|bear on|campaign|crowd|crusade|drive|fight|force|labor|labour|press|promote|push|tug,move|displace|urge|urge on|press|exhort|praise|fight|struggle|approach|near|come on|go up|draw near|draw close|come near|advertise|advertize|promote|push|deal|sell|trade|travel|go|locomote|force
push,NN,button|energy|get-up-and-go|push|push button|pushing|thrust,propulsion|actuation|force|drive|switch|electric switch|electrical switch|progress|progression|procession|advance|advancement|forward motion|onward motion
superior,JJ,higher-ranking|ranking(a)|superior|superior(p)|superscript,NA
superior,NN,higher-up|Lake Superior|master|superior|Superior|superordinate|superscript|victor,leader|religious|combatant|battler|belligerent|fighter|scrapper|character|graph|grapheme|graphic symbol
yellow,JJ,chicken|chickenhearted|icteric|jaundiced|lily-livered|scandalmongering|sensationalistic|white-livered|xanthous|yellow|yellow-bellied|yellow(a)|yellowed|yellowish,NA
yellow,NN,yellow|yellowness,chromatic color|chromatic colour|spectral color|spectral colour
yellow,VB,yellow,discolor|discolour|colour|color
uncommon,JJ,rare|uncommon,NA
chaos,NN,bedlam|chaos|Chaos|pandemonium|topsy-turvydom|topsy-turvyness,confusion|physical phenomenon|dynamical system
excuse,NN,alibi|apology|exculpation|excuse|self-justification,defense|defence|vindication|note|short letter|line|billet|example|illustration|instance|representative
cultural,JJ,cultural|ethnic|ethnical,NA
wave,NN,moving ridge|undulation|wafture|wave|Wave|waving,movement|motion|move|motility|rise|gesture|hairdo|hairstyle|hair style|coiffure|coif|curve|curved shape|weather|weather condition|conditions|atmospheric condition|reservist|woman|adult female
wave,VB,beckon|brandish|curl|flap|flourish|roll|undulate|wave,gesticulate|gesture|motion|move|displace|twist|dress|arrange|set|do|coif|coiffe|coiffure
strategy,NN,scheme|strategy,plan of action|military science
fiction,NN,fable|fabrication|fiction,literary composition|literary work|falsehood|falsity|untruth
iron,NN,atomic number 26|branding iron|Fe|iron|smoothing iron,metallic element|metal|golf club|golf-club|golfclub|club|implement|home appliance|household appliance
iron,VB,iron|iron out|press,press
iron,JJ,cast-iron|iron,NA
motion,NN,apparent motion|apparent movement|gesture|motility|motion|move|movement|question,visual communication|happening|occurrence|occurrent|natural event|change|state|proposal|optical illusion
motion,VB,gesticulate|gesture|motion,communicate|intercommunicate
husband,NN,hubby|husband|married man,spouse|partner|married person|mate|better half
husband,VB,conserve|economise|economize|husband,save|preserve
developer,NN,developer,creator|photographic equipment
