lemma,pos,synonyms,hypernyms
scoffer,NN,flouter|gorger|jeerer|mocker|scoffer,eater|feeder|unpleasant person|disagreeable person
scrofula,NN,king's evil|scrofula|struma,tuberculosis|TB|T.B.
semiology,NN,semiology|semiotics,philosophical doctrine|philosophical theory
sententious,JJ,pithy|sententious,NA
sericulture,NN,sericulture,natural process|natural action|action|activity|production
sforzando,NN,sforzando,chord|musical notation
sheikhdom,NN,sheikdom|sheikhdom,domain|demesne|land
shorthorn,NN,Durham|shorthorn,beef|beef cattle
showiness,NN,flamboyance|floridity|floridness|showiness,ornateness|elaborateness
slattern,NN,floozie|floozy|hooker|hustler|slattern|slovenly woman|slut|street girl|streetwalker|trollop,prostitute|cocotte|whore|harlot|bawd|tart|cyprian|fancy woman|working girl|sporting lady|lady of pleasure|woman of the street|slob|sloven|pig|slovenly person
slightness,NN,delicacy|pettiness|puniness|slenderness|slightness|slimness|triviality,unimportance|smallness|littleness|leanness|thinness|spareness
sordidness,NN,baseness|contemptibility|despicability|despicableness|sordidness|squalidness|squalor,dirtiness|uncleanness|unworthiness
sou'wester,NN,sou'wester|southwester,wind|air current|current of air|hat|chapeau|lid
spite,VB,bruise|hurt|injure|offend|spite|wound,arouse|elicit|enkindle|kindle|evoke|fire|raise|provoke
sponginess,NN,compressibility|sponginess|squeezability,porosity|porousness|softness
springless,JJ,springless,NA
stayer,NN,stayer,animal|animate being|beast|brute|creature|fauna
stoutness,NN,adiposis|corpulence|overweight|stalwartness|stoutness,strength|fleshiness|obesity|corpulency
strikebreaking,NN,strikebreaking,confrontation|opposition
sublet,NN,sublease|sublet,lease|rental|letting
sullenness,NN,glumness|moroseness|sourness|sulkiness|sullenness,moodiness|ill nature
summerhouse,NN,gazebo|summerhouse,building|edifice
surmountable,JJ,climbable|surmountable,NA
SWINGY,JJ,lilting|swinging|swingy|tripping,NA
sybarite,NN,sybarite|voluptuary,sensualist
SYNONYMY,NN,synonymity|synonymousness|synonymy,semantic relation
tahitian,NN,Tahitian,Polynesian|Oceanic|Eastern Malayo-Polynesian
tatterdemalion,NN,ragamuffin|tatterdemalion,urchin
teletypewriter,NN,teleprinter|teletype machine|teletypewriter|telex|telex machine,character printer|character-at-a-time printer|serial printer
tenability,NN,reasonableness|tenability|tenableness,plausibility|plausibleness
territorial,NN,territorial|territorial reserve,soldier|guard
thickset,JJ,compact|heavyset|stocky|thick|thickset,NA
tippler,NN,social drinker|tippler,drinker|imbiber|toper|juicer
tombola,NN,tombola,lottery|drawing
tragicomedy,NN,seriocomedy|tragicomedy,tragedy|comedy
tranquilly,RB,tranquilly,NA
transitively,RB,transitively,NA
transship,VB,transship,transfer|shift
trench,VB,ditch|encroach|entrench|impinge|trench,trespass|take advantage|fortify|fort|cut|put|set|place|pose|position|lay|excavate|dig|hollow|dig out
triteness,NN,staleness|triteness,unoriginality
trochee,NN,trochee,metrical foot|foot|metrical unit
trouper,NN,barnstormer|play-actor|playactor|trouper,good person|actor|histrion|player|thespian|role player
tubercle,NN,eminence|nodule|tubercle|tuberosity,lesion|plant process|enation|process|outgrowth|appendage
tutelary,JJ,custodial|tutelar|tutelary,NA
unadvisedly,RB,unadvisedly,NA
unendingly,RB,ceaselessly|continuously|endlessly|incessantly|unceasingly|unendingly,NA
unhealthiness,NN,health problem|ill health|unhealthiness,pathological state
unloosen,VB,free|liberate|loose|release|unloose|unloosen,untie|unbrace|unlace
vermifuge,NN,anthelminthic|anthelmintic|helminthic|vermifuge,medicine|medication|medicament|medicinal drug
villeinage,NN,villainage|villeinage,legal status|servitude|tenure|land tenure
vulgarism,NN,coarseness|commonness|dirty word|filth|grossness|obscenity|raunch|smut|vulgarism|vulgarity,profanity|inelegance
valediction,NN,valediction|valedictory|valedictory address|valedictory oration,oratory|farewell|leave|leave-taking|parting
vaunt,NN,vaunt,boast|boasting|self-praise|jactitation
verboseness,NN,verboseness|verbosity,expressive style|style
versifier,NN,poetiser|poetizer|rhymer|rhymester|versifier,writer|author
vinous,JJ,vinaceous|vinous,NA
viviparous,JJ,live-bearing|viviparous,NA
welkin,NN,celestial sphere|empyrean|firmament|heavens|sphere|vault of heaven|welkin,surface
adulterant,NN,adulterant|adulterator,substance
adulterant,JJ,adulterant|adulterating,NA
affricate,NN,affricate|affricate consonant|affricative,obstruent
agglutination,NN,agglutinating activity|agglutination,organic process|biological process|linguistic process|chemical process|chemical change|chemical action
agilely,RB,agilely|nimbly,NA
amateurishness,NN,amateurishness,unskillfulness
anticoagulation,NN,anticoagulation,medical care|medical aid
Athabascan,NN,Athabascan|Athabaskan|Athapascan|Athapaskan|Athapaskan language,Amerind|Amerindian language|American-Indian language|American Indian|Indian|Red Indian
austerely,RB,austerely,NA
beggarman,NN,beggarman,beggar|mendicant
betroth,VB,affiance|betroth|engage|plight,vow
billhook,NN,bill|billhook,saw
bimolecular,JJ,bimolecular,NA
bleakly,RB,bleakly,NA
bloater,NN,bloater,herring
bluecoat,NN,bluecoat,person|individual|someone|somebody|mortal|soul
boastfully,RB,big|boastfully|large|vauntingly,NA
bunkmate,NN,bunkmate,acquaintance|friend
burlesque,NN,burlesque|charade|lampoon|mockery|parody|pasquinade|put-on|sendup|spoof|takeoff|travesty,show|caricature|imitation|impersonation
cautery,NN,cauterant|cauterisation|cauterization|cautery,instrument|operation|surgery|surgical operation|surgical procedure|surgical process
centrifuge,VB,centrifugate|centrifuge,spin
chancel,NN,bema|chancel|sanctuary,area
chigger,NN,chigger|chigoe|chigoe flea|harvest mite|jigger|redbug|Tunga penetrans,flea|trombiculid
choirmaster,NN,cantor|choirmaster|precentor,musician
chorine,NN,chorine|chorus girl|showgirl,dancer|professional dancer|terpsichorean
concretion,NN,calculus|coalescence|coalescency|coalition|compaction|compression|concretion|conglutination|densification,natural process|natural action|action|activity|rock|stone|concentration|union|unification|uniting|conjugation|jointure
confabulate,VB,chaffer|chat|chatter|chew the fat|chit-chat|chitchat|claver|confab|confabulate|confer|consult|gossip|jaw|natter|shoot the breeze|visit,fabricate|manufacture|cook up|make up|invent|converse|discourse|hash out|discuss|talk over
congruous,JJ,congruent|congruous,NA
coronary,NN,coronary|coronary thrombosis,coronary heart disease|thrombosis
corrigible,JJ,corrigible,NA
cosily,RB,cosily|cozily,NA
cupbearer,NN,cupbearer,attendant|attender|tender
debone,VB,bone|debone,remove|take|take away|withdraw
declamatory,JJ,bombastic|declamatory|large|orotund|tumid|turgid,NA
demobilize,VB,demob|demobilise|demobilize|inactivate,discharge|muster out|discharge|muster out
deodorize,VB,deodorise|deodorize|deodourise,change|alter|modify
diffract,VB,diffract,separate|part|split
disconcert,VB,confuse|discomfit|discompose|disconcert|flurry|put off|untune|upset,embarrass|abash|arouse|elicit|enkindle|kindle|evoke|fire|raise|provoke
disinherit,VB,disinherit|disown,deprive
doweling,NN,doweling,fastening|attachment
emollient,JJ,demulcent|emollient|salving|softening,NA
emollient,NN,cream|emollient|ointment,toiletry|toilet articles
encamp,VB,bivouac|camp|camp out|encamp|tent,populate|dwell|live|inhabit
enshroud,VB,cover|enshroud|hide|shroud,envelop|enfold|enwrap|wrap|enclose
environ,VB,border|environ|ring|skirt|surround,touch|adjoin|meet|contact
exceptionable,JJ,exceptionable|objectionable,NA
exorcize,VB,exorcise|exorcize,eject|chuck out|exclude|turf out|boot out|turn out
eyedrop,NN,eye-drop|eyedrop,drop|drib|driblet|irrigation
foodless,JJ,foodless,NA
gentlefolk,NN,gentlefolk,folk|folks|common people
gingersnap,NN,ginger nut|ginger snap|gingersnap|snap,cookie|cooky|biscuit
grain,VB,grain|granulate|ingrain,penetrate|perforate|paint|form|change shape|change form|deform
gratifyingly,RB,gratifyingly|satisfyingly,NA
gristmill,NN,gristmill,mill|grinder|milling machinery
highborn,JJ,coroneted|highborn|titled,NA
homograph,NN,homograph,homonym
housemother,NN,housemother,chaperon|chaperone
hydrotherapy,NN,hydropathy|hydrotherapy,treatment|intervention
illogicality,NN,illogic|illogicality|illogicalness|inconsequence,quality
indirectness,NN,indirectness,characteristic
inscrutability,NN,inscrutability,incomprehensibility
insolvable,JJ,insolvable|unresolvable|unsoluble|unsolvable,NA
interrogative,NN,interrogation|interrogative|interrogative mood|interrogative sentence|question,sentence|mood|mode|modality
itinerate,VB,itinerate,travel|move around
leitmotiv,NN,leitmotif|leitmotiv,tune|melody|air|strain|melodic line|line|melodic phrase
lodgment,NN,lodgement|lodging|lodgment,allegation|fastness|fixedness|fixity|fixture|secureness
Madagascan,NN,Madagascan,African
matricide,NN,matricide,parricide
meetinghouse,NN,conventicle|meetinghouse,place of worship|house of prayer|house of God|house of worship
mortarboard,NN,hawk|mortarboard,board|cap
municipally,RB,municipally,NA
mustiness,NN,moldiness|must|mustiness,staleness
nonpoisonous,JJ,non-poisonous|nonpoisonous|nontoxic,NA
nonresidential,JJ,nonresidential,NA
numberplate,NN,license plate|numberplate,plate
ossify,VB,ossify|petrify|rigidify,change state|turn|stiffen|change|alter|modify
overjoy,VB,overjoy,gladden|joy
patricide,NN,patricide,parricide
penurious,JJ,hard up|impecunious|in straitened circumstances(p)|parsimonious|penniless|penurious|pinched,NA
phagocyte,NN,phagocyte|scavenger cell,somatic cell|vegetative cell
plumpness,NN,embonpoint|plumpness|roundness,fleshiness|obesity|corpulency
poolroom,NN,poolroom,room
postbag,NN,mailbag|postbag,bag
postulant,NN,postulant,petitioner|suppliant|supplicant|requester
pupal,JJ,pupal,NA
pustule,NN,pustule,pimple|hickey|zit|blister|bulla|bleb
quadruplet,NN,4|four|foursome|IV|Little Joe|quad|quadruple|quadruplet|quartet|quartette|quatern|quaternary|quaternion|quaternity|tetrad,digit|figure|sibling|sib|set
quintuplet,NN,5|cinque|fin|five|fivesome|Little Phoebe|pentad|Phoebe|quin|quint|quintet|quintette|quintuple|quintuplet|V,digit|figure|sibling|sib|set
radicalize,VB,radicalize,change|alter|modify
reface,VB,reface,face
remilitarize,VB,remilitarise|remilitarize,militarize|militarise
rocklike,JJ,granitelike|granitic|rocklike|stony,NA
